0,11
1,27
2,23
3,0
4,24
5,16
6,15
7,28
8,1
9,13
10,17
11,15
12,22
13,19
14,15
15,27
16,23
17,26
18,25
19,17
20,20
21,25
22,22
23,18
24,27
25,25
26,22
27,27
28,14
29,22
30,14
31,13
32,15
33,23
34,17
35,28
36,28
37,27
38,26
39,15
40,28
41,18
42,25
43,28
44,25
45,15
46,23
47,22
48,26
49,21
50,23
51,27
52,23
53,22
54,12
55,21
56,16
57,24
58,26
59,23
60,2
61,16
62,21
63,21
64,20
65,3
66,28
67,26
68,21
69,17
70,25
71,28
72,4
73,5
74,21
75,6
76,7
77,14
78,16
79,8
80,28
81,23
82,12
83,27
84,26
85,15
86,28
87,28
88,28
89,24
90,9
91,20
92,19
93,20
94,25
95,25
96,21
97,11
98,17
99,10
